ID,요일,기상상태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사망자수,중상자수,경상자수,부상자수,ECLO,연,월,일,시간,시,군구,읍면동,도로형태1,도로형태2
ACCIDENT_00000,화요일,맑음,건조,차대사람,길가장자리구역통행중,안전운전불이행,승용,여,51세,상해없음,보행자,여,70세,중상,0,1,0,0,5,2019,01,01,00,대구광역시,중구,대신동,단일로,기타
ACCIDENT_00001,화요일,흐림,건조,차대사람,보도통행중,기타,승용,남,39세,상해없음,보행자,남,61세,경상,0,0,1,0,3,2019,01,01,00,대구광역시,달서구,감삼동,단일로,기타
ACCIDENT_00002,화요일,맑음,건조,차대사람,차도통행중,안전운전불이행,승용,남,70세,상해없음,보행자,남,38세,경상,0,0,1,0,3,2019,01,01,01,대구광역시,수성구,두산동,단일로,기타
ACCIDENT_00003,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,49세,상해없음,승용,남,36세,중상,0,1,0,0,5,2019,01,01,02,대구광역시,북구,복현동,단일로,기타
ACCIDENT_00004,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,30세,상해없음,승용,남,52세,경상,0,0,1,0,3,2019,01,01,04,대구광역시,동구,신암동,단일로,기타
ACCIDENT_00005,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승합,남,52세,상해없음,승용,남,35세,경상,0,0,2,0,6,2019,01,01,04,대구광역시,달서구,감삼동,단일로,기타
ACCIDENT_00006,화요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,61세,경상,승용,남,76세,경상,0,0,6,0,18,2019,01,01,05,대구광역시,수성구,지산동,교차로,교차로안
ACCIDENT_00007,화요일,흐림,건조,차대차,추돌,안전운전불이행,승용,남,68세,상해없음,승용,남,53세,경상,0,0,1,0,3,2019,01,01,06,대구광역시,달서구,상인동,단일로,기타
ACCIDENT_00008,화요일,맑음,건조,차대차,기타,안전운전불이행,승용,남,49세,상해없음,자전거,남,62세,중상,0,1,0,0,5,2019,01,01,06,대구광역시,북구,태전동,기타,기타
ACCIDENT_00009,화요일,맑음,건조,차대차,기타,신호위반,승용,남,66세,상해없음,승용,여,42세,경상,0,0,3,0,9,2019,01,01,10,대구광역시,동구,지묘동,단일로,터널
ACCIDENT_00010,화요일,맑음,건조,차대차,측면충돌,기타,승용,남,62세,상해없음,승합,남,60세,중상,0,1,0,0,5,2019,01,01,11,대구광역시,서구,평리동,단일로,기타
ACCIDENT_00011,화요일,맑음,건조,차대차,기타,안전운전불이행,기타불명,기타불명,미분류,기타불명,자전거,남,69세,경상,0,0,1,0,3,2019,01,01,14,대구광역시,동구,신기동,교차로,교차로안
ACCIDENT_00012,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,화물,남,56세,상해없음,승용,여,31세,중상,0,1,0,0,5,2019,01,01,14,대구광역시,서구,상리동,단일로,지하차도(도로)내
ACCIDENT_00013,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,여,64세,상해없음,승용,여,23세,상해없음,0,1,0,0,5,2019,01,01,18,대구광역시,달서구,월성동,단일로,기타
ACCIDENT_00014,화요일,맑음,건조,차량단독,공작물충돌,안전운전불이행,승용,여,46세,중상,,,,,0,1,1,0,8,2019,01,01,19,대구광역시,수성구,황금동,단일로,교량
ACCIDENT_00015,화요일,맑음,건조,차대사람,횡단중,신호위반,승용,남,74세,상해없음,보행자,남,57세,경상,0,0,1,0,3,2019,01,01,19,대구광역시,북구,구암동,교차로,교차로횡단보도내
ACCIDENT_00016,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,28세,상해없음,이륜,남,17세,경상,0,0,1,0,3,2019,01,01,20,대구광역시,동구,신천동,기타,기타
ACCIDENT_00017,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,72세,상해없음,이륜,남,17세,경상,0,0,1,0,3,2019,01,01,20,대구광역시,수성구,만촌동,단일로,기타
ACCIDENT_00018,화요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,33세,상해없음,승용,남,69세,중상,0,1,0,0,5,2019,01,01,22,대구광역시,중구,남산동,교차로,교차로안
ACCIDENT_00019,수요일,맑음,건조,차대차,측면충돌,안전운전불이행,이륜,남,27세,중상,승용,남,54세,상해없음,0,1,0,0,5,2019,01,02,01,대구광역시,서구,비산동,단일로,기타
ACCIDENT_00020,수요일,맑음,건조,차대차,정면충돌,중앙선침범,승용,남,33세,중상,승용,남,55세,중상,0,3,0,0,15,2019,01,02,02,대구광역시,북구,침산동,단일로,기타
ACCIDENT_00021,수요일,맑음,건조,차대사람,기타,안전운전불이행,승용,여,50세,상해없음,보행자,여,52세,경상,0,0,1,0,3,2019,01,02,07,대구광역시,달서구,두류동,단일로,기타
ACCIDENT_00022,수요일,맑음,건조,차대차,추돌,안전운전불이행,이륜,남,33세,상해없음,승용,남,64세,경상,0,0,1,0,3,2019,01,02,08,대구광역시,서구,평리동,단일로,기타
