title,rate,comment,label
잠,2,여기 알바들 많네.최근 30년내 최악의 영화입니다.제 말 믿고 절대 보지 마세요.,0
잠,10,여기 댓글들 보고 좀 의심스러웠는데 뭐야!!!완전 잼있네~~   저는 아주 좋았어요.스토리 배우 연기 잘 봤습니다~~^^,1
잠,9,"인스탄트맛에 길들여진 영화충들이 평점테러하는 영화이고, 맛집을 아는 영화인들이 감상할 줄 아는 수준있는 영화입니다.",1
잠,1,봉준호에 속았다,0
잠,9,밑에 별점이 왜 저러나 싶게 몰입감 있게 잘 만든  영화라 생각 했음요.  강추합니다.,1
잠,10,"테러가 이해되지 않을 정도의 수작입니다. 일반적으로 영화에 낮은 평점을 줄 때는 3~5점을 주거나 최악인 경우에 1점을 주는 경우가 다반사 입니다.영화에 호불호가 갈릴 수는 있지만 납득이 불가능할 정도로 1점이 쇄도하는 것은 둘째 치고, 높은 점수를 매긴 평가에 싫어요가 일정한 수로 박혀있는걸 보면 뭔가 이상합니다.",1
잠,8,"저는 개인적으로 기대를 하고봤는데,  잘 만들어진 영화라고 생각합니다. 결말에 대해 생각을 많이하며추리하며 관객의 몫으로 돌린 결말이 신선했습니다.",1
잠,10,"문제가 생기면 함께 극복 하는게부부이고 가족이고 사회 이지요,  살아 가면서 누군가는 옆집 할머니 에게나 스처가는 이야기 처럼 침삼키며 들었을 이야기 었지만 문제는 여러가지가 있겠지요, 부부든  가족이든 사회든,  50대 중반인 난  셋딸 부부 이렇게 다섯이 식구가  관람을 했는데,아빠에 결론은 ""세상은  상식적 이든 비상식적 이건 , 이건"" 내 의견이 다 맞다는 생각은 버려야 한다, 함께 이해하고 서로의 의견을 존중해야 해결 할수 있다는 결론을 주었을때 ,  즉 이럴수도 저럴수도 있다, 결과는 다같이 책임을  같이 하는 것이 부부고 가족이다, 결론을 주었을 때 중 3딸은 이해 하질 못하고 20대 딸은 어느정도 수능하는 듯  암튼 영화 ""잠"" 현 새대 부부 가족에게 주는 메세지가 참  임펙트 있습니다",1
잠,10,긴장감있고 연기도 잘하고 훌륭한영화,1
잠,8,♡,1
잠,9,한편의 무서운 연극을 본 느낌,1
잠,4,뭐지 하다가 끝남,0
잠,7,"할아버지가 곡성을 내지르며 승천했다.점프스케어가 생각보다 많지는 않습니다. 그래서 다행이죠. 초반부 오프닝에 잠깐 나오고 그 이후는 대부분 분위기로 공포를 유지합니다.흥미롭고 정통 공포영화를 따르는 전반부(제 1장), 갑자기 오컬트 분위기를 풍기는 중반부(제 2장), 곡성이 되어버린 후반부(제 3장)가 생각보다 짜임새 있게 구성되었고, 정유미의 사이코같은 연기도 좋았습니다. 푸른 톤을 유지하는 화면도 괜찮고요.그러나 너무 갑작스럽게 장르가 변환되어 벙찌고, 정유미는 정신병원을 어떻게 탈출했으며 ppt, 부적 붙이기, 납치 등 모든 계획을 하루 만에 구성했는지에 대한 개연성 문제도 있습니다. 모호한 엔딩은 호불호가 많이 갈리겠네요.",2
잠,10,"간만에 쫄깃쫄깃한 영화를 본것같은데, 댓글은 악플이 너무많네. 다들 뭘 기대하고 온 건지. 쯥",1
잠,8,결혼 생활도 믿음 체계를 공유하는 하나의 신앙,1
잠,7,"영화도 안 보고 모든 영화평란에 비방 도배하는 인간들은 영화평에서 좀 나가주길 바래.너희들 땜에 제대로 된 영화 정보를 못 얻겠다!영화는 무섭거나 한 건 없지만, 긴장감으로 흘러가기는 함.누군가가 쓴 내용에 결국 무속신앙인가? 하는 얘기가 기억나긴 함.이 영화의 완성도를 위해서라면 마지막 장면에서 정유미를 부둥켜 안고 이선균이 의미심장한 미소로 클로즈업 했다면 무척 섬찟할 거라고 생각이 들었음.",2
잠,8,별  기대없이 봤는데~~시간 가는줄 모르고 봤습니다영화를 보면서 어찌나 깜짝깜짝 놀랬던지~~소재가 독특하고~~배우들 연기 최고입니다,1
잠,1,절대 보면 안되는 영화,0
잠,1,믿고보는 최악의 영화,0
잠,9,"잘 만든 영화라도 관객의 그들 수준에서 이해할 수 없으면 상업영화로서는 망작이라는 평을 들을 수 있다. 하지만 잘 만든 영화라는 건 부인할 수 없다. 못 보면 어쩔 수 없지, 뭐…이 영화의 미덕은 빛을 어디서 비추느냐에 따라 다양하게 해석할 수 있는 프리즘 같은 영화다. 어떤 사람은 함수 같다고도 했다. 매우 동의한다. 열린 결말이라 하는 사람도 있던데, 열린 결말이라고 하기는 좀 애매하다. 이런 면에서 단순히 즐기고자 하는 관객에게 이 영화는 모호하고 애매하며 불편할 수 밖에 없다. 시원시원하지도, 그다지 짜릿하지도, 기대하는 반전이 있는 것도 아니다. 반전이 있지만 기대하던 그런 건 아니다. 난 그런 면에서 이 영화를 지지한다. 볼 때마다 다르게 보일 지도 모르겠다.  그 때마다 즐길 수 있을 듯.",1
잠,9,평점이 안좋은게 너무 이해가 안갈 정도로잘 짜여지고 신선한 영화였습니다가족 같이 갔는데 좋은시간보냈고배우들 연기도 좋았어요평점이 너무 낮아 좋은 영화를 놓칠까봐평점 안남기는데  집가는길에 한번 써봤네요특별가라 기프티콘 미리사둔거가 안되어아쉬웠구요 즐감하세요,1
잠,8,크레딧이 올라오는 순간 내 눈을 의심했다,1
