,id,광역시도,시군구,총인구수,남자인구수,여자인구수,가구수
0,서울특별시종로구,서울특별시,종로구,141379,68395,72984,72524
1,서울특별시중구,서울특별시,중구,120437,58563,61874,63139
2,서울특별시용산구,서울특별시,용산구,218650,105087,113563,109805
3,서울특별시성동구,서울특별시,성동구,281000,136633,144367,133305
4,서울특별시광진구,서울특별시,광진구,337416,162541,174875,169291
5,서울특별시동대문구,서울특별시,동대문구,336644,165755,170889,169873
6,서울특별시중랑구,서울특별시,중랑구,385318,189537,195781,187413
7,서울특별시성북구,서울특별시,성북구,430397,206961,223436,197082
8,서울특별시강북구,서울특별시,강북구,293660,142567,151093,144313
9,서울특별시도봉구,서울특별시,도봉구,311694,151398,160296,138356
10,서울특별시노원구,서울특별시,노원구,503734,242145,261589,217540
11,서울특별시은평구,서울특별시,은평구,466746,222592,244154,213876
12,서울특별시서대문구,서울특별시,서대문구,306337,145816,160521,145797
13,서울특별시마포구,서울특별시,마포구,364638,171043,193595,180084
14,서울특별시양천구,서울특별시,양천구,440881,215682,225199,181187
15,서울특별시강서구,서울특별시,강서구,569166,273203,295963,273697
16,서울특별시구로구,서울특별시,구로구,395315,194274,201041,183655
17,서울특별시금천구,서울특별시,금천구,229642,115786,113856,119583
18,서울특별시영등포구,서울특별시,영등포구,375675,184660,191015,188832
19,서울특별시동작구,서울특별시,동작구,380596,184030,196566,185773
20,서울특별시관악구,서울특별시,관악구,486752,244748,242004,283623
21,서울특별시서초구,서울특별시,서초구,404325,193159,211166,167749
22,서울특별시강남구,서울특별시,강남구,529102,253072,276030,232777
23,서울특별시송파구,서울특별시,송파구,658801,317180,341621,284853
24,서울특별시강동구,서울특별시,강동구,460067,225221,234846,202169
25,부산광역시중구,부산광역시,중구,39689,19239,20450,23960
26,부산광역시서구,부산광역시,서구,105192,50801,54391,53626
27,부산광역시동구,부산광역시,동구,86462,42249,44213,46349
28,부산광역시영도구,부산광역시,영도구,108156,53223,54933,54342
29,부산광역시부산진구,부산광역시,부산진구,355917,171141,184776,178049
30,부산광역시동래구,부산광역시,동래구,273226,132296,140930,119503
31,부산광역시남구,부산광역시,남구,256333,125118,131215,117601
32,부산광역시북구,부산광역시,북구,278857,137274,141583,123569
33,부산광역시해운대구,부산광역시,해운대구,386785,185514,201271,170435
34,부산광역시사하구,부산광역시,사하구,301987,150009,151978,140778
35,부산광역시금정구,부산광역시,금정구,221256,108085,113171,106950
36,부산광역시강서구,부산광역시,강서구,143207,74248,68959,62426
37,부산광역시연제구,부산광역시,연제구,203536,97604,105932,93557
38,부산광역시수영구,부산광역시,수영구,174806,82144,92662,87361
39,부산광역시사상구,부산광역시,사상구,203789,102544,101245,98625
40,부산광역시기장군,부산광역시,기장군,178614,88426,90188,78736
41,대구광역시중구,대구광역시,중구,80199,38460,41739,40749
42,대구광역시동구,대구광역시,동구,339530,166741,172789,159422
43,대구광역시서구,대구광역시,서구,159827,79580,80247,81116
44,대구광역시남구,대구광역시,남구,141519,67842,73677,76401
45,대구광역시북구,대구광역시,북구,430912,214151,216761,192697
46,대구광역시수성구,대구광역시,수성구,411553,198731,212822,171480
47,대구광역시달서구,대구광역시,달서구,536989,263961,273028,235883
48,대구광역시달성군,대구광역시,달성군,263162,133399,129763,113125
49,인천광역시중구,인천광역시,중구,152931,79359,73572,75960
50,인천광역시동구,인천광역시,동구,58999,29691,29308,27618
51,인천광역시미추홀구,인천광역시,미추홀구,406004,204354,201650,194841
52,인천광역시연수구,인천광역시,연수구,385796,191405,194391,156047
53,인천광역시남동구,인천광역시,남동구,506181,251394,254787,226763
54,인천광역시부평구,인천광역시,부평구,489118,241285,247833,217924
55,인천광역시계양구,인천광역시,계양구,288856,143881,144975,127201
56,인천광역시서구,인천광역시,서구,589013,297120,291893,248741
57,인천광역시강화군,인천광역시,강화군,69803,34918,34885,35114
